V1,V2
Y,494602
Y,481100
Y,531296
X,539770
X,532636
Y,534574
Y,302090
Y,71692
Y,79018
Y,544612
X,561220
X,562692
Y,565834
Y,561912
X,545888
Y,410928
Y,82286
X,67610
Y,173968
X,67294
X,66292
X,64864
Y,64702
Y,64800
X,64772
X,64906
X,64412
Y,65590
Y,65080
X,65012
Y,65090
Y,64434
Y,64472
Y,64716
X,64822
Y,65590
Y,64492
Y,64370
Y,66344
Y,65040
X,64364
X,64614
X,64538
X,64364
Y,64584
X,64364
Y,110098
X,73242
Y,73142
X,72776
Y,72284
X,72934
Y,71738
Y,72360
X,71546
X,72370
Y,72660
Y,73076
Y,72712
Y,73094
Y,72518
Y,72656
Y,72716
X,72392
X,73124
Y,72532
X,72328
X,73278
Y,72808
X,72534
Y,72736
Y,72656
X,72444
Y,72314
X,72252
Y,72124
X,72602
Y,72802
X,72680
X,72596
Y,72052
Y,72514
X,72638
Y,72676
X,72842
Y,73100
X,72452
Y,74436
X,72774
Y,72248
X,73152
X,72522
X,73376
Y,72690
Y,72484
Y,72710
Y,71834
X,73056
Y,72560
Y,73166
X,72468
X,72628
Y,72080
Y,72742
X,72984
Y,72498
X,72538
Y,72374
Y,71950
Y,72546
Y,73938
X,73434
X,72662
Y,73114
Y,72892
X,72238
X,72778
Y,72772
X,72968
Y,73526
X,73398
Y,72492
Y,72774
Y,72732
Y,72686
X,73646
X,72254
Y,72240
X,73022
Y,72544
X,72956
Y,73134
Y,73668
X,72436
Y,72362
Y,72278
X,72588
X,72576
Y,73086
Y,72212
Y,72614
Y,72966
Y,72382
X,72508
Y,72788
X,73190
Y,72770
X,96642
X,73562
Y,73340
X,72360
Y,73116
Y,72476
X,72924
Y,72796
X,71810
Y,73046
Y,72542
X,73648
X,72200
X,72958
Y,72918
X,72150
X,73552
X,72106
Y,71824
Y,72374
Y,72424
X,72442
Y,72704
X,72902
Y,72544
X,72330
X,72312
Y,72344
Y,72238
X,72768
X,72490
Y,72492
X,72466
X,72444
X,72642
Y,73434
Y,72252
Y,72600
Y,72044
Y,72836
Y,72174
Y,72704
X,72748
X,72274
X,72574
X,72654
Y,72754
X,73154
X,73022
Y,72888
Y,73292
X,72542
Y,72082
Y,72806
Y,72620
Y,72694
X,72522
X,72428
Y,72158
X,72902
Y,72410
Y,72628
X,72880
Y,72646
Y,72236
Y,72236
Y,72134
X,71956
Y,71728
Y,72838
X,72352
X,72102
X,72086
Y,73528
Y,73100
X,71912
X,72748
X,72252
X,72396
X,72054
X,73516
Y,72438
X,72240
Y,72870
X,72402
Y,73848
Y,72726
X,72690
X,72258
X,71346
X,72384
Y,72566
X,73024
X,72606
Y,72206
X,72426
X,72686
X,72504
Y,72794
X,71860
X,72256
X,72366
X,72676
X,72368
Y,72468
Y,72634
X,72904
Y,72612
X,73172
Y,73172
X,72912
Y,72822
